sgd_id	gene_id	gene_symbol	gene_name	gene_alias	chr	type
S000001331	YIL069C	RPS24B	Ribosomal Protein of the Small subunit	eS24|ribosomal 40S subunit protein S24B|RPS24EB|S24B|S24e	chrIX	ORF
S000001332	YIL070C	MAM33	Mitochondrial Acidic Matrix protein		chrIX	ORF
S000001333	YIL071C	PCI8	Proteasome-COP9 signalosome (CSN)-eIF3	CSN11|YIH1|YIL071W	chrIX	ORF
S000001334	YIL072W	HOP1	HOmolog Pairing		chrIX	ORF
S000001335	YIL073C	SPO22	SPOrulation	ZIP4	chrIX	ORF
S000001336	YIL074C	SER33	SERine requiring	phosphoglycerate dehydrogenase SER33	chrIX	ORF
S000001337	YIL075C	RPN2	Regulatory Particle Non-ATPase	proteasome regulatory particle base subunit RPN2|SEN3	chrIX	ORF
S000001338	YIL076W	SEC28	SECretory	ANU2|coatomer subunit epsilon	chrIX	ORF
S000001339	YIL077C	RCI37	Respiratory Chain Interacting protein of ~37 kDa	MRX17	chrIX	ORF
S000001340	YIL078W	THS1	THreonyl tRNA Synthetase	threonine--tRNA ligase THS1	chrIX	ORF
S000001341	YIL079C	AIR1	Arginine methyltransferase-Interacting RING finger protein	TRAMP complex RNA-binding subunit	chrIX	ORF
S000001344	YIL082W				chrIX	ORF
S000001345	YIL083C	CAB2	Coenzyme A Biosynthesis	phosphopantothenate--cysteine ligase CAB2	chrIX	ORF
S000001346	YIL084C	SDS3	Suppressor of Defective Silencing		chrIX	ORF
S000001347	YIL085C	KTR7	Kre Two Related	putative mannosyltransferase	chrIX	ORF
S000001348	YIL086C				chrIX	ORF
S000001349	YIL087C	AIM19	Altered Inheritance rate of Mitochondria	LRC2	chrIX	ORF
S000001350	YIL088C	AVT7	Amino acid Vacuolar Transport		chrIX	ORF
S000001351	YIL089W				chrIX	ORF
S000001352	YIL090W	ICE2	Inheritance of Cortical ER		chrIX	ORF
S000001353	YIL091C	UTP25	U Three Protein	rRNA-binding ribosome biosynthesis protein UTP25	chrIX	ORF
S000001354	YIL092W				chrIX	ORF
S000001355	YIL093C	RSM25	Ribosomal Small subunit of Mitochondria	mitochondrial 37S ribosomal protein RSM25|mS23	chrIX	ORF
S000001356	YIL094C	LYS12	LYSine requiring	homoisocitrate dehydrogenase|LYS10|LYS11	chrIX	ORF
S000001357	YIL095W	PRK1	p53 Regulatory Kinase	PAK1|serine/threonine protein kinase PRK1	chrIX	ORF
S000001358	YIL096C	BMT5	Base Methyltransferase of Twenty five S rRNA	25S rRNA (uracil2634-N3)-methyltransferase	chrIX	ORF
S000001359	YIL097W	FYV10	Function required for Yeast Viability	GID9|glucose-induced degradation complex subunit FYV10	chrIX	ORF
S000001360	YIL098C	FMC1	Formation of Mitochondrial Complexes		chrIX	ORF
S000001361	YIL099W	SGA1	Sporulation-specific GlycoAmylase	glucan 1,4-alpha-glucosidase	chrIX	ORF
S000001362	YIL100W				chrIX	ORF
S000001363	YIL101C	XBP1	XhoI site-Binding Protein		chrIX	ORF
S000001364	YIL102C				chrIX	ORF
S000001365	YIL103W	DPH1	DiPHthamide biosynthesis	2-(3-amino-3-carboxypropyl)histidine synthase|KIF48	chrIX	ORF
S000001366	YIL104C	SHQ1	Small nucleolar RNAs of the box H/ACA family Quantitative accumulation	Hsp90 cochaperone SHQ1	chrIX	ORF
S000001367	YIL105C	SLM1	Synthetic Lethal with Mss4	LIT2|phosphatidylinositol 4,5-bisphosphate-binding protein	chrIX	ORF
S000001368	YIL106W	MOB1	Mps One Binder		chrIX	ORF
S000001369	YIL107C	PFK26	6-PhosphoFructo-2-Kinase	6-phosphofructo-2-kinase|PFK2|PFK-2	chrIX	ORF
S000001370	YIL108W			putative metalloendopeptidase	chrIX	ORF
S000001371	YIL109C	SEC24	SECretory	ANU1|COPII subunit SEC24	chrIX	ORF
S000001372	YIL110W	HPM1	Histidine Protein Methyltransferase	MNI1|protein-histidine N-methyltransferase	chrIX	ORF
S000001373	YIL111W	COX5B	Cytochrome c OXidase	cytochrome c oxidase subunit Vb	chrIX	ORF
S000001374	YIL112W	HOS4	Hda One Similar		chrIX	ORF
S000001375	YIL113W	SDP1	Stress-inducible Dual specificity Phosphatase	mitogen-activated protein kinase tyrosine protein phosphatase SDP1	chrIX	ORF
S000001376	YIL114C	POR2	PORin	putative porin POR2|YVDAC2	chrIX	ORF
S000001377	YIL115C	NUP159	NUclear Pore	FG-nucleoporin NUP159|NUP158|RAT7	chrIX	ORF
S000001378	YIL116W	HIS5	HIStidine requiring	histidinol-phosphate transaminase	chrIX	ORF
S000001379	YIL117C	PRM5	Pheromone-Regulated Membrane protein	pheromone-regulated protein PRM5	chrIX	ORF
S000001380	YIL118W	RHO3	Ras HOmolog	Rho family GTPase RHO3	chrIX	ORF
S000001381	YIL119C	RPI1	Ras-cAMP Pathway Inhibitor		chrIX	ORF
S000001382	YIL120W	QDR1	QuiniDine Resistance	multidrug transporter	chrIX	ORF
S000001383	YIL121W	QDR2	QuiniDine Resistance	cation transporter	chrIX	ORF
S000001384	YIL122W	POG1	Promoter Of Growth		chrIX	ORF
S000001385	YIL123W	SIM1	Start Independent of Mitosis	putative glucosidase SIM1	chrIX	ORF
S000001386	YIL124W	AYR1	1-AcyldihYdroxyacetone-phosphate Reductase	acylglycerone-phosphate reductase|GBG1	chrIX	ORF
S000001387	YIL125W	KGD1	alpha-KetoGlutarate Dehydrogenase	alpha-ketoglutarate dehydrogenase KGD1|OGD1	chrIX	ORF
S000001388	YIL126W	STH1	SNF Two Homolog	NPS1|RSC chromatin remodeling complex ATPase subunit STH1	chrIX	ORF
S000001389	YIL127C	RRT14	Regulator of rDNA Transcription		chrIX	ORF
S000001390	YIL128W	MET18	METhionine requiring	MMS19	chrIX	ORF
S000001391	YIL129C	TAO3	Transcriptional Activator of OCH1	PAG1	chrIX	ORF
S000001392	YIL130W	ASG1	Activator of Stress Genes		chrIX	ORF
S000001393	YIL131C	FKH1	ForK head Homolog	forkhead family transcription factor FKH1	chrIX	ORF
S000001394	YIL132C	CSM2	Chromosome Segregation in Meiosis		chrIX	ORF
S000001395	YIL133C	RPL16A	Ribosomal Protein of the Large subunit	L13|L16A|L21A|ribosomal 60S subunit protein L16A|rp22|RPL13|uL13|YL15	chrIX	ORF
S000001396	YIL134W	FLX1	FLavin eXchange	flavin adenine dinucleotide transporter FLX1	chrIX	ORF
S000001397	YIL135C	VHS2	Viable in a Hal3 Sit4 background		chrIX	ORF
S000001398	YIL136W	OM45	Outer Membrane		chrIX	ORF
S000001399	YIL137C	TMA108	Translation Machinery Associated	RBF108|TAE3	chrIX	ORF
S000001400	YIL138C	TPM2	TroPoMyosin	tropomyosin TPM2	chrIX	ORF
S000001401	YIL139C	REV7	REVersionless		chrIX	ORF
S000001402	YIL140W	AXL2	AXiaL 2 bud site selection	BUD10|SRO4	chrIX	ORF
S000001403	YIL141W				chrIX	ORF
S000001404	YIL142W	CCT2	Chaperonin Containing TCP-1	BIN3|chaperonin-containing T-complex subunit CCT2|TCP2	chrIX	ORF
S000001405	YIL143C	SSL2	Suppressor of Stem-Loop mutation	LOM3|RAD25|TFIIH/NER complex ATPase/helicase subunit SSL2	chrIX	ORF
S000001406	YIL144W	NDC80	Nuclear Division Cycle	HEC1|kinetochore-associated Ndc80 complex subunit NDC80|TID3	chrIX	ORF
S000001407	YIL145C	PAN6	PANtothenate biosynthesis	pantoate--beta-alanine ligase PAN6	chrIX	ORF
S000001408	YIL146C	ATG32	AuTophaGy related	ECM37|mitophagy protein ATG32	chrIX	ORF
S000001409	YIL147C	SLN1	Synthetic Lethal of N-end rule	histidine kinase|YPD2	chrIX	ORF
S000001410	YIL148W	RPL40A	Ribosomal Protein of the Large subunit	CEP52A|eL40|L40A|L40e|UB11|UBI1|ubiquitin-ribosomal 60S subunit protein L40A fusion protein	chrIX	ORF
S000001411	YIL149C	MLP2	Myosin-Like Protein		chrIX	ORF
S000001412	YIL150C	MCM10	MiniChromosome Maintenance	DNA43	chrIX	ORF
S000001413	YIL151C	ESL1	EST/SMG-like		chrIX	ORF
S000001414	YIL152W	VPR1	Viable Products in spp1∆ meiosis Reduced		chrIX	ORF
S000001415	YIL153W	RRD1	Resistant to Rapamycin Deletion	peptidylprolyl isomerase RRD1|YPA1	chrIX	ORF
S000001416	YIL154C	IMP21	Independent of Mitochondrial Particle	IMP2|IMP2’	chrIX	ORF
S000001417	YIL155C	GUT2	Glycerol UTilization	glycerol-3-phosphate dehydrogenase	chrIX	ORF
S000001418	YIL156W	UBP7	UBiquitin-specific Protease	ubiquitin-specific protease UBP7	chrIX	ORF
S000001419	YIL157C	COA1	Cytochrome Oxidase Assembly	FMP35	chrIX	ORF
S000001420	YIL158W	AIM20	Altered Inheritance rate of Mitochondria		chrIX	ORF
S000001421	YIL159W	BNR1	BNi1 Related	formin BNR1	chrIX	ORF
S000001422	YIL160C	POT1	Peroxisomal Oxoacyl Thiolase	acetyl-CoA C-acyltransferase|FOX3|POX3	chrIX	ORF
S000001423	YIL161W	SMU2	Stalled Monosome Ubiquitination		chrIX	ORF
S000001424	YIL162W	SUC2	SUCrose	beta-fructofuranosidase SUC2	chrIX	ORF
S000001425	YIL163C				chrIX	ORF
S000001426	YIL164C	NIT1	NITrilase superfamily		chrIX	ORF
S000001427	YIL165C				chrIX	ORF
S000001428	YIL166C	SOA1	SulfOnAte transport		chrIX	ORF
S000001431	YIL169C	CSS1	Condition Specific Secretion	HPF1'	chrIX	ORF
S000001434	YIL172C	IMA3	IsoMAltase	oligo-1,6-glucosidase IMA3	chrIX	ORF
S000001435	YIL173W	VTH1	Vps Ten Homolog	signal sequence-binding protein	chrIX	ORF
S000001438	YIL176C	PAU14	seriPAUperin	seripauperin PAU14	chrIX	ORF
S000001439	YIL177C			Y' element ATP-dependent helicase	chrIX	ORF
S000001440	YIR001C	SGN1	Slower Growth on Non-fermentable carbon sources	RBP1|RBP29	chrIX	ORF
S000001441	YIR002C	MPH1	Mutator PHenotype	3'-5' DNA helicase	chrIX	ORF
S000001442	YIR003W	AIM21	Altered Inheritance rate of Mitochondria		chrIX	ORF
S000001443	YIR004W	DJP1	DnaJ Protein	ICS1|PAS22	chrIX	ORF
S000001444	YIR005W	IST3	Increased Sodium Tolerance	SNU17|U2 snRNP complex subunit IST3	chrIX	ORF
S000001445	YIR006C	PAN1	Poly(A)-binding protein-dependent poly(A) riboNuclease	DIM2|MDP3|MIP3	chrIX	ORF
S000001446	YIR007W	EGH1	Cryptococcus neoformans EGCrP2 Homolog	hydrolase	chrIX	ORF
S000001447	YIR008C	PRI1	DNA PRImase	DNA primase subunit PRI1	chrIX	ORF
S000001448	YIR009W	MSL1	MUD Synthetic Lethal	U2 snRNP complex subunit MSL1|YIB9|YIB9w	chrIX	ORF
S000001449	YIR010W	DSN1	Dosage Suppressor of NNF1	MIND complex subunit DSN1	chrIX	ORF
S000001450	YIR011C	STS1	Sec Twenty-three Suppressor	DBF8|SSM5	chrIX	ORF
S000001451	YIR012W	SQT1	Suppressor of QSR1 Truncations		chrIX	ORF
S000001452	YIR013C	GAT4			chrIX	ORF
S000001453	YIR014W	VLD1	Vacuole Localized Dsc protein		chrIX	ORF
S000001454	YIR015W	RPR2	RNase P Ribonucleoprotein	ribonuclease P protein subunit RPR2	chrIX	ORF
S000001455	YIR016W				chrIX	ORF
S000001456	YIR017C	MET28	METhionine		chrIX	ORF
S000001457	YIR018W	YAP5	Yeast AP-1		chrIX	ORF
S000001458	YIR019C	FLO11	FLOcculation	MUC1|STA4	chrIX	ORF
S000001459	YIR020C				chrIX	ORF
S000001460	YIR021W	MRS1	Mitochondrial RNA Splicing	PET157	chrIX	ORF
S000001461	YIR022W	SEC11	SECretory	signal peptidase complex catalytic subunit SEC11	chrIX	ORF
S000001462	YIR023W	DAL81	Degradation of Allantoin	DURL|UGA35	chrIX	ORF
S000001463	YIR024C	INA22	INner membrane Assembly 22 kDa	GIF1	chrIX	ORF
S000001464	YIR025W	MND2	Meiotic Nuclear Divisions		chrIX	ORF
S000001465	YIR026C	YVH1	Yeast vaccinia virus VH1 Homolog	tyrosine protein phosphatase YVH1	chrIX	ORF
S000001466	YIR027C	DAL1	Degradation of Allantoin	allantoinase	chrIX	ORF
S000001467	YIR028W	DAL4	Degradation of Allantoin	allantoin permease	chrIX	ORF
S000001468	YIR029W	DAL2	Degradation of Allantoin	ALC1|allantoicase	chrIX	ORF
S000001469	YIR030C	DCG1	Dal80p-Controlled Gene		chrIX	ORF
S000001470	YIR031C	DAL7	Degradation of Allantoin	malate synthase DAL7|MLS2|MSL2	chrIX	ORF
S000001471	YIR032C	DAL3	Degradation of Allantoin	ureidoglycolate hydrolase	chrIX	ORF
S000001472	YIR033W	MGA2	Multicopy suppressor of GAm1 (snf2)		chrIX	ORF
S000001473	YIR034C	LYS1	LYSine requiring	saccharopine dehydrogenase (NAD+, L-lysine-forming)	chrIX	ORF
S000001474	YIR035C	NRE1	Novel REductase	sepiapterin reductase family protein	chrIX	ORF
S000001475	YIR036C	IRC24	Increased Recombination Centers	sepiapterin reductase family protein IRC24	chrIX	ORF
S000001476	YIR037W	HYR1	HYdroperoxide Resistance	GPX3|ORP1|peroxiredoxin HYR1	chrIX	ORF
S000001477	YIR038C	GTT1	GlutaThione Transferase	bifunctional glutathione transferase/peroxidase	chrIX	ORF
S000001478	YIR039C	YPS6	YaPSin	aspartyl protease	chrIX	ORF
S000001479	YIR040C				chrIX	ORF
S000001480	YIR041W	PAU15	seriPAUperin	seripauperin PAU15	chrIX	ORF
S000001481	YIR042C				chrIX	ORF
S000001484	YKL001C	MET14	METhionine requiring	adenylyl-sulfate kinase	chrXI	ORF
S000001485	YKL002W	DID4	Doa4-Independent Degradation	CHM2|ESCRT-III subunit protein DID4|GRD7|REN1|VPL2|VPS14|VPS2|VPT14	chrXI	ORF
S000001486	YKL003C	MRP17	Mitochondrial Ribosomal Protein	bS6m|mitochondrial 37S ribosomal protein YmS16	chrXI	ORF
S000001487	YKL004W	AUR1	AUreobasidin A Resistance	inositol phosphorylceramide synthase	chrXI	ORF
S000001488	YKL005C	BYE1	BYpass of ESS1		chrXI	ORF
S000001489	YKL006W	RPL14A	Ribosomal Protein of the Large subunit	eL14|L14A|L14e|ribosomal 60S subunit protein L14A	chrXI	ORF
S000001490	YKL007W	CAP1	CAPping		chrXI	ORF
S000001491	YKL008C	LAC1	Longevity-Assurance gene Cognate (LAG1 Cognate)	DGT1|sphingosine N-acyltransferase LAC1	chrXI	ORF
S000001492	YKL009W	MRT4	mRNA Turnover 4		chrXI	ORF
S000001493	YKL010C	UFD4	Ubiquitin Fusion Degradation protein	putative ubiquitin-protein ligase UFD4	chrXI	ORF
S000001494	YKL011C	CCE1	Cruciform Cutting Endonuclease	cruciform cutting endonuclease|MGT1	chrXI	ORF
S000001495	YKL012W	PRP40	Pre-mRNA Processing		chrXI	ORF
S000001496	YKL013C	ARC19	ARp2/3 Complex subunit		chrXI	ORF
S000001497	YKL014C	URB1	Unhealthy Ribosome Biogenesis	NPA1	chrXI	ORF
S000001498	YKL015W	PUT3	Proline UTilization		chrXI	ORF
S000001499	YKL016C	ATP7	ATP synthase	F1F0 ATP synthase subunit d	chrXI	ORF
S000001500	YKL017C	HCS1	dna HeliCaSe	ATP-dependent 5'-3' DNA helicase HCS1|DIP1	chrXI	ORF
S000001501	YKL018W	SWD2	Set1c, WD40 repeat protein	CPS35|SAF37|WD-repeat containing protein SWD2	chrXI	ORF
S000001502	YKL019W	RAM2	RAS protein and A-factor Maturation	bifunctional protein farnesyltransferase/protein geranylgeranyltransferase	chrXI	ORF
S000001503	YKL020C	SPT23	SuPpressor of Ty		chrXI	ORF
S000001504	YKL021C	MAK11	MAintenance of Killer		chrXI	ORF
S000001505	YKL022C	CDC16	Cell Division Cycle	anaphase promoting complex subunit CDC16	chrXI	ORF
S000001506	YKL023W	SKA1	SKi Associated factor		chrXI	ORF
S000001507	YKL024C	URA6	URAcil requiring	bifunctional uridylate/adenylate kinase|SOC8	chrXI	ORF
S000001508	YKL025C	PAN3	Poly(A) Nuclease	ECM35	chrXI	ORF
S000001509	YKL026C	GPX1	Glutathione PeroXidase	glutathione peroxidase GPX1	chrXI	ORF
S000001510	YKL027W	TCD2	tRNA ThreonylCarbamoyladenosine Dehydratase	tRNA threonylcarbamoyladenosine dehydratase	chrXI	ORF
S000001511	YKL028W	TFA1	Transcription Factor A	transcription factor TFIIE subunit TFA1	chrXI	ORF
S000001512	YKL029C	MAE1	MAlic Enzyme	malate dehydrogenase (oxaloacetate-decarboxylating)	chrXI	ORF
S000001513	YKL030W				chrXI	ORF
S000001514	YKL031W				chrXI	ORF
S000001515	YKL032C	IXR1	Intrastrand cross (X)-link Recognition	DNA-binding transcription repressor IXR1|ORD1	chrXI	ORF
S000001516	YKL033W	TTI1	Two Tel2-Interacting protein	FMP47	chrXI	ORF
S000001517	YKL034W	TUL1	Transmembrane Ubiquitin Ligase	ubiquitin-protein ligase TUL1	chrXI	ORF
S000001518	YKL035W	UGP1	UDP-glucose pyrophosphorylase	UTP glucose-1-phosphate uridylyltransferase	chrXI	ORF
S000001519	YKL036C				chrXI	ORF
S000001520	YKL037W	AIM26	Altered Inheritance rate of Mitochondria		chrXI	ORF
S000001521	YKL038W	RGT1	Restores Glucose Transport		chrXI	ORF
S000001522	YKL039W	PTM1			chrXI	ORF
S000001523	YKL040C	NFU1	NifU-like protein	NUB1	chrXI	ORF
S000001524	YKL041W	VPS24	Vacuolar Protein Sorting	DID3|ESCRT-III subunit protein VPS24|VPL26	chrXI	ORF
S000001525	YKL042W	SPC42	Spindle Pole Component		chrXI	ORF
S000001526	YKL043W	PHD1	PseudoHyphal Determinant		chrXI	ORF
S000001527	YKL044W	MMO1	Mini Mitochondria ORF		chrXI	ORF
S000001528	YKL045W	PRI2	DNA PRImase	DNA primase subunit PRI2	chrXI	ORF
S000001529	YKL046C	DCW1	Defective Cell Wall	putative mannan endo-1,6-alpha-mannosidase	chrXI	ORF
S000001530	YKL047W	ANR2	Avl Nine Related family		chrXI	ORF
S000001531	YKL048C	ELM1	ELongated Morphology	LDB9|serine/threonine protein kinase ELM1	chrXI	ORF
S000001532	YKL049C	CSE4	Chromosome SEgregation	centromeric DNA-binding histone H3-like protein CSE4|CSL2	chrXI	ORF
S000001533	YKL050C	LPX2	Lipase of PeroXisomes		chrXI	ORF
S000001534	YKL051W	SFK1	Suppressor of Four Kinase		chrXI	ORF
S000001535	YKL052C	ASK1	Associated with Spindles and Kinetochores		chrXI	ORF
S000001536	YKL053W				chrXI	ORF
S000001537	YKL054C	DEF1	RNAPII DEgradation Factor	DNA damage-responsive RNA polymerase-degradation factor DEF1|VID31	chrXI	ORF
S000001538	YKL055C	OAR1	3-Oxoacyl-[Acyl-carrier-protein] Reductase	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)	chrXI	ORF
S000001539	YKL056C	TMA19	Translation Machinery Associated	MMI1|RBF18	chrXI	ORF
S000001540	YKL057C	NUP120	NUclear Pore	RAT2	chrXI	ORF
S000001541	YKL058W	TOA2		transcription initiation factor IIA subunit gamma	chrXI	ORF
S000001542	YKL059C	MPE1	Mutant PCF11 Extragenic suppressor	cleavage polyadenylation factor subunit MPE1	chrXI	ORF
S000001543	YKL060C	FBA1	Fructose-1,6-Bisphosphate Aldolase	fructose-bisphosphate aldolase FBA1|LOT1	chrXI	ORF
S000001544	YKL061W	BLI1	BLoc-1 Interactor		chrXI	ORF
S000001545	YKL062W	MSN4	Multicopy suppressor of SNF1 mutation	stress-responsive transcriptional activator MSN4	chrXI	ORF
S000001546	YKL063C				chrXI	ORF
S000001547	YKL064W	MNR2	MaNganese Resistance	putative Mg(2+) transporter MNR2	chrXI	ORF
S000001548	YKL065C	YET1	Yeast Endoplasmic reticulum Transmembrane protein		chrXI	ORF
S000001549	YKL066W				chrXI	ORF
S000001550	YKL067W	YNK1	Yeast Nucleoside diphosphate Kinase	NDK1|nucleoside diphosphate kinase	chrXI	ORF
S000001551	YKL068W	NUP100	NUclear Pore	FG-nucleoporin NUP100|NSP100|[NUP100+]	chrXI	ORF
S000001552	YKL069W			fRMsr|L-methionine (R)-S-oxide reductase|YKG9	chrXI	ORF
S000001553	YKL070W				chrXI	ORF
S000001554	YKL071W	OSI1	Oxidative Stress Induced		chrXI	ORF
S000001555	YKL072W	STB6	Sin Three Binding protein		chrXI	ORF
S000001556	YKL073W	LHS1	Lumenal Hsp Seventy	CER1|Hsp70 family chaperone LHS1|SSI1	chrXI	ORF
S000001557	YKL074C	MUD2	Mutant U1 Die		chrXI	ORF
S000001558	YKL075C	AAN1	Actin, Aging and Nutrient modulator		chrXI	ORF
S000001559	YKL076C	PSY1	Platinum SensitivitY		chrXI	ORF
S000001560	YKL077W	PSG1	Pma1 Stabilization in the Golgi		chrXI	ORF
S000001561	YKL078W	DHR2	DEAH-box RNA helicase	RNA helicase	chrXI	ORF
S000001562	YKL079W	SMY1	Suppressor of MYo2-66		chrXI	ORF
S000001563	YKL080W	VMA5	Vacuolar Membrane Atpase	CSL5|H(+)-transporting V1 sector ATPase subunit C|VAT3	chrXI	ORF
S000001564	YKL081W	TEF4	Translation Elongation Factor	EFC1|translation elongation factor EF1B gamma	chrXI	ORF
S000001565	YKL082C	RRP14	Ribosomal RNA Processing	ribosome biosynthesis protein RRP14	chrXI	ORF
S000001566	YKL083W				chrXI	ORF
S000001567	YKL084W	HOT13	Helper Of Tim		chrXI	ORF
S000001568	YKL085W	MDH1	Malate DeHydrogenase	malate dehydrogenase MDH1	chrXI	ORF
S000001569	YKL086W	SRX1	SulfiRedoXin	sulfiredoxin	chrXI	ORF
S000001570	YKL087C	CYT2	CYTochrome-c1-heme-lyase	CC1HL|cytochrome c1 heme lyase CYT2	chrXI	ORF
S000001571	YKL088W	CAB3	Coenzyme A Biosynthesis	phosphopantothenoylcysteine decarboxylase complex subunit CAB3	chrXI	ORF
S000001572	YKL089W	MIF2	MItotic Fidelity of chromosome transmission		chrXI	ORF
S000001573	YKL090W	CUE2	Coupling of Ubiquitin conjugation to ER degradation		chrXI	ORF
S000001574	YKL091C			phosphatidylinositol/phosphatidylcholine-binding protein|SFH1	chrXI	ORF
S000001575	YKL092C	BUD2	BUD site selection	CLA2|ERC25|GTPase-activating protein BUD2	chrXI	ORF
S000001576	YKL093W	MBR1	Mitochondrial Biogenesis Regulation		chrXI	ORF
S000001577	YKL094W	YJU3		acylglycerol lipase	chrXI	ORF
S000001578	YKL095W	YJU2		CWC16|mRNA splicing protein YJU2	chrXI	ORF
S000001579	YKL096W	CWP1	Cell Wall Protein	YJU1	chrXI	ORF
S000001580	YKL097C				chrXI	ORF
S000001581	YKL098W	MTC2	Maintenance of Telomere Capping		chrXI	ORF
S000001582	YKL099C	UTP11	U Three Protein	rRNA-processing protein UTP11	chrXI	ORF
S000001583	YKL100C	YPF1	Yeast Presenilin-like Family	aspartic endopeptidase	chrXI	ORF
S000001584	YKL101W	HSL1	Histone Synthetic Lethal	ELM2|NIK1|protein kinase HSL1	chrXI	ORF
S000001585	YKL102C				chrXI	ORF
S000001586	YKL103C	APE1	AminoPeptidase	API|LAP4|metalloaminopeptidase APE1|YSC1	chrXI	ORF
S000001587	YKL104C	GFA1	Glutamine:Fructose-6-phosphate Amidotransferase	glutamine--fructose-6-phosphate transaminase (isomerizing) GFA1	chrXI	ORF
S000001588	YKL105C	SEG2	Stability of Eisosomes Guaranteed		chrXI	ORF
S000001589	YKL106W	AAT1	Aspartate AminoTransferase	aspartate transaminase AAT1	chrXI	ORF
S000001590	YKL107W			putative short-chain dehydrogenase/reductase	chrXI	ORF
S000001591	YKL108W	SLD2	Synthetically Lethal with Dpb11-1	DRC1	chrXI	ORF
S000001592	YKL109W	HAP4	Heme Activator Protein	transcription factor HAP4	chrXI	ORF
S000001593	YKL110C	KTI12	Kluveromyces lactis Toxin Insensitive	TOT4	chrXI	ORF
S000001594	YKL111C				chrXI	ORF
S000001595	YKL112W	ABF1	ARS-Binding Factor	BAF1|DNA-binding protein ABF1|EBF2|GFI|OBF1|REB2|SBF1|SBF-B	chrXI	ORF
S000001596	YKL113C	RAD27	RADiation sensitive	ERC11|FEN1|multifunctional nuclease RAD27|RTH1	chrXI	ORF
S000001597	YKL114C	APN1	APurinic/apyrimidinic eNdonuclease	DNA-(apurinic or apyrimidinic site) lyase APN1	chrXI	ORF
S000001598	YKL115C				chrXI	ORF
S000001599	YKL116C	PRR1	Pheromone Response Regulator	serine/threonine protein kinase PRR1	chrXI	ORF
S000001600	YKL117W	SBA1	increased Sensitivity to Benzoquinone Ansamycins	CST18|Hsp90 cochaperone SBA1	chrXI	ORF
S000001601	YKL118W				chrXI	ORF
S000001602	YKL119C	VPH2	Vacuolar pH	CLS10|VMA12	chrXI	ORF
S000001603	YKL120W	OAC1	OxaloAcetate Carrier		chrXI	ORF
S000001604	YKL121W	DGR2	2-Deoxy-Glucose Resistant		chrXI	ORF
S000001605	YKL122C	SRP21	Signal Recognition Particle	signal recognition particle subunit SRP21	chrXI	ORF
S000001606	YKL123W				chrXI	ORF
S000001607	YKL124W	SSH4	Suppressor of SHr3 deletion	MLF4	chrXI	ORF
S000001608	YKL125W	RRN3	Regulation of RNA polymerase I	rDNA-binding RNA polymerase I transcriptional factor	chrXI	ORF
S000001609	YKL126W	YPK1	Yeast Protein Kinase	serine/threonine protein kinase YPK1|SLI2	chrXI	ORF
S000001610	YKL127W	PGM1	PhosphoGlucoMutase	phosphoglucomutase PGM1	chrXI	ORF
S000001611	YKL128C	PMU1	PhosphoMUtase	putative phosphomutase	chrXI	ORF
S000001612	YKL129C	MYO3	MYOsin	myosin 3	chrXI	ORF
S000001613	YKL130C	SHE2	Swi5p-dependent HO Expression		chrXI	ORF
S000001614	YKL131W				chrXI	ORF
S000001615	YKL132C	RMA1	Reduced Mating A	putative tetrahydrofolate synthase	chrXI	ORF
S000001616	YKL133C	RCI50	Respiratory Chain Interacting protein of ~50 kDa		chrXI	ORF
S000001617	YKL134C	OCT1	OCTapeptidyl aminopeptidase	metalloendopeptidase	chrXI	ORF
S000001618	YKL135C	APL2	clathrin Adaptor Protein complex Large chain		chrXI	ORF
S000001619	YKL136W				chrXI	ORF
S000001620	YKL137W	CMC1	Cx9C Mitochondrial protein necessary for full assembly of Cytochrome c oxidase		chrXI	ORF
S000001621	YKL138C	MRPL31	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL31|mL60|YmL31	chrXI	ORF
S000001622	YKL139W	CTK1	Carboxy-Terminal domain Kinase	cyclin-dependent serine/threonine protein kinase CTK1	chrXI	ORF
S000001623	YKL140W	TGL1	TriGlyceride Lipase	sterol esterase|YKL5	chrXI	ORF
S000001624	YKL141W	SDH3	Succinate DeHydrogenase	CYB3|succinate dehydrogenase cytochrome b subunit SDH3|YKL4	chrXI	ORF
S000001625	YKL142W	MRP8	Mitochondrial Ribosomal Protein	YKL3	chrXI	ORF
S000001626	YKL143W	LTV1	Low Temperature Viability	YKL2	chrXI	ORF
S000001627	YKL144C	RPC25	RNA Polymerase C	C25|DNA-directed RNA polymerase III subunit RPC25|YKL1	chrXI	ORF
S000001628	YKL145W	RPT1	Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase	CIM5|proteasome regulatory particle base subunit RPT1|YTA3	chrXI	ORF
S000001629	YKL146W	AVT3	Amino acid Vacuolar Transport		chrXI	ORF
S000001630	YKL147C				chrXI	ORF
S000001631	YKL148C	SDH1	Succinate DeHydrogenase	SDHA|succinate dehydrogenase flavoprotein subunit SDH1	chrXI	ORF
S000001632	YKL149C	DBR1	DeBRanching	PRP26|RNA lariat debranching enzyme	chrXI	ORF
