HGNC_ID	FUSIL	pLI_gnomAD	oe_lof	oe_lof_lower	oe_lof_upper	oe_mis	oe_mis_lower	oe_mis_upper	oe_syn	oe_syn_lower	oe_syn_upper	shet	RVIS	DDD_HI_percentage
HGNC:18118	DL	1	0	0	0.043	0.808	0.756	0.864	0.953	0.859	1.06	0.542223592	-0.995432513	34.22
HGNC:18119	CL	6.27e-20	0.82	0.623	1.09	0.941	0.869	1.02	0.937	0.823	1.07	0.004068099	-1.000046839	58.77
HGNC:18128	VP	1.12e-30	1.18	0.923	1.53	1.04	0.96	1.13	1.13	1.01	1.26	0.003227322	-0.155072623	81.31
HGNC:18130	VP	0.000113	0.53	0.318	0.925	0.846	0.719	0.998	1.02	0.789	1.34	0.007600808	-0.218354097	51.51
HGNC:18142	DL	0.999	0.15	0.089	0.262	0.773	0.715	0.835	0.898	0.796	1.01	0.19208667	-1.219484333	11.09
HGNC:18143	VP	1	0.0197	0.006	0.093	0.832	0.773	0.894	0.905	0.808	1.01	0.064102397	1.078559612	29.17
HGNC:18150	DL	2.59e-30	0.571	0.468	0.698	0.966	0.924	1.01	1	0.938	1.07	0.007313448	4.535602933	76.35
HGNC:18154	VP	0.00267	0.423	0.24	0.795	0.881	0.769	1.01	0.659	0.508	0.864	0.053700717	-0.114528379	25.48
HGNC:18165	VP	1.76e-08	0.873	0.567	1.39	0.854	0.75	0.974	0.912	0.744	1.12	0.012787501	-0.092069006	81.49
HGNC:18167	VP	-	-	-	-	-	-	-	-	-	-	-	-	9.84
HGNC:18170	CL	0.852	0.0945	0.033	0.448	0.457	0.362	0.58	0.755	0.561	1.03	0.034984834	0.186607874	19.29
HGNC:18179	CL	0.161	0.247	0.144	0.446	0.743	0.67	0.823	1.07	0.934	1.22	0.038691242	-0.847992268	46.3
HGNC:18182	VP	0.015	0.269	0.177	0.421	0.703	0.645	0.765	1.05	0.942	1.17	0.0350954	-1.443120267	43.77
HGNC:18183	VP	0.0102	0.439	0.228	0.922	0.924	0.814	1.05	1.01	0.84	1.22	0.00972124	0.153187451	63.46
HGNC:18188	SV	8.07e-09	0.835	0.551	1.31	0.747	0.632	0.885	0.99	0.78	1.27	0.004476204	-0.100091728	14.08
HGNC:18191	VP	0.996	0.139	0.075	0.275	0.675	0.61	0.747	0.884	0.767	1.02	0.1409741	0.26467738	41.79
HGNC:18212	VN	3.44e-05	0.934	0.528	1.68	0.754	0.634	0.899	0.543	0.397	0.753	0.015630506	-0.008833055	33
HGNC:18216	VN	0.00286	0.823	0.4	1.71	0.824	0.697	0.977	1.15	0.938	1.43	0.018594382	0.274480015	72.11
HGNC:18219	VP	0.243	0.244	0.127	0.513	0.823	0.755	0.896	0.96	0.854	1.08	0.066666056	1.086129089	69.34
HGNC:18222	DL	0.955	0.146	0.071	0.335	0.96	0.868	1.06	1.42	1.26	1.61	0.063517006	-0.772326105	0.34
HGNC:18235	VP	8.38e-17	0.983	0.715	1.37	1.08	0.997	1.17	1.16	1.03	1.31	0.006582127	1.624328004	31.51
HGNC:18239	VP	0.012	0.282	0.18	0.456	0.802	0.738	0.872	1.01	0.898	1.13	0.070340431	-0.595061231	51.53
HGNC:18241	VP	0.00372	0.459	0.25	0.905	0.936	0.836	1.05	1.27	1.1	1.47	0.016740058	-0.85450117	33.07
HGNC:18242	VP	-	-	-	-	-	-	-	-	-	-	-	-	47.72
HGNC:18249	VP	0.86	0.093	0.032	0.441	0.59	0.498	0.701	0.801	0.641	1.01	0.268701098	-0.370839095	9.92
HGNC:18258	DL	0.31	0.231	0.135	0.417	0.887	0.81	0.972	0.921	0.797	1.07	0.0243905	0.868567415	32.61
HGNC:18261	CL	1	0.0281	0.009	0.133	0.503	0.443	0.57	1.04	0.909	1.19	0.104783972	-0.512625292	46.21
HGNC:18263	DL	0.106	0.298	0.146	0.682	0.659	0.543	0.804	0.752	0.559	1.03	0.098440349	0.150870348	13.26
HGNC:18267	VP	0.99	0.168	0.1	0.294	0.639	0.585	0.697	0.815	0.719	0.926	0.083612765	-0.832752444	12.93
HGNC:18278	VP	1.49e-08	0.658	0.444	0.999	1.02	0.919	1.13	1.04	0.876	1.24	0.003359763	0.179478591	52.41
HGNC:18285	SV	0.0177	0.39	0.203	0.819	0.555	0.474	0.65	1.11	0.942	1.31	0.090060173	-0.549168789	48.12
HGNC:18287	DL	0.923	0	0	0.368	0.755	0.637	0.899	1.01	0.812	1.26	-	0.16798151	64.11
HGNC:18291	CL	0.014	0.334	0.189	0.627	0.628	0.556	0.71	1.02	0.877	1.19	0.037891865	-0.247581669	10.29
HGNC:18294	CL	2.49e-19	1.11	0.816	1.53	1.33	1.22	1.45	1.43	1.25	1.63	0.006771433	1.201728167	67.9
HGNC:18296	CL	0.998	0	0	0.162	1.01	0.897	1.13	1.27	1.07	1.51	0.226544009	0.063088061	42.53
HGNC:18302	CL	6.66e-08	0.259	0.215	0.313	0.878	0.85	0.907	0.971	0.923	1.02	0.043239024	-2.273925088	38.9
HGNC:18303	CL	0.000669	0.361	0.227	0.598	0.778	0.694	0.872	0.886	0.741	1.06	0.020300899	-0.663598053	20.78
HGNC:18304	VP	0.0371	0.472	0.214	1.21	1.02	0.863	1.2	1.29	1.04	1.62	0.006454731	-0.310773491	37.69
HGNC:18309	VP	3.13e-20	1.06	0.787	1.44	0.953	0.858	1.06	0.839	0.701	1.01	0.005015266	-0.06693587	31.22
HGNC:18311	SV	0.991	0.0873	0.035	0.275	0.561	0.482	0.653	1	0.828	1.21	0.081654287	-0.306938074	8.7
HGNC:18318	DL	1.6e-08	0.436	0.31	0.622	0.931	0.877	0.987	1.03	0.942	1.12	0.006105636	-0.32869801	20.78
HGNC:18320	VP	0.908	0.0833	0.029	0.395	0.426	0.352	0.516	0.922	0.754	1.13	0.196411265	-0.176913871	46.62
HGNC:18327	VP	0.0416	0.453	0.205	1.17	0.588	0.475	0.732	1.01	0.791	1.3	0.024851046	-0.152584602	29.12
HGNC:18337	VP	1.09e-09	0.627	0.436	0.92	0.977	0.899	1.06	0.975	0.859	1.11	0.002030064	2.777417585	53.01
HGNC:18341	SV	1.14e-09	0.577	0.405	0.839	0.92	0.844	1	0.997	0.879	1.13	-	0.475003168	38.27
HGNC:18349	VN	4.88e-06	0.837	0.503	1.45	1.26	1.13	1.4	1.23	1.04	1.46	0.003305128	2.164372775	84
HGNC:18356	VP	0.00208	0.515	0.281	1.02	0.888	0.775	1.02	1.08	0.89	1.33	0.014576735	0.281341917	79.38
HGNC:18371	VP	0.99	0.149	0.081	0.295	0.835	0.774	0.901	1.01	0.913	1.13	0.112335791	0.351842734	46.28
HGNC:18374	SV	0.000184	0.408	0.256	0.675	0.937	0.854	1.03	1.07	0.936	1.23	0.009540446	-0.612974037	3.52
HGNC:18380	VP	0.94	0.136	0.061	0.351	0.419	0.352	0.5	1.14	0.95	1.37	0.061674856	-0.370839095	6.69
HGNC:18398	SV	1	0.0172	0.005	0.081	0.568	0.517	0.625	1.05	0.93	1.18	0.15135423	-1.022144934	12.39
HGNC:18415	VP	4.74e-15	0.561	0.424	0.75	0.979	0.916	1.05	1.07	0.969	1.17	0.011663629	-0.492311796	49.72
HGNC:18416	VP	0.00891	0.452	0.235	0.95	0.95	0.86	1.05	1.13	0.988	1.3	0.01570709	-0.134219975	62.6
HGNC:18421	VP	1	0.0843	0.041	0.193	0.334	0.293	0.379	0.84	0.732	0.965	0.465039947	-0.924463505	7.46
HGNC:18423	DL	0.0724	0.239	0.172	0.336	0.748	0.702	0.796	0.932	0.851	1.02	0.110395114	-1.247179395	37.92
HGNC:18435	SV	6.82e-24	0.845	0.655	1.1	1.38	1.3	1.46	1.64	1.51	1.77	-	4.662835168	77.06
HGNC:18437	VP	0.157	0.293	0.132	0.757	0.867	0.757	0.994	0.919	0.749	1.13	0.007914155	0.714473304	86.71
HGNC:1844	VP	0.694	0.123	0.043	0.585	0.713	0.63	0.808	0.873	0.747	1.02	-	-	75.21
HGNC:18448	VP	5.07e-07	0.636	0.413	1.01	1.07	0.963	1.18	1.26	1.09	1.47	-	0.408783848	57.51
HGNC:18453	VN	2.37e-06	0.782	0.482	1.33	0.862	0.752	0.988	1.01	0.837	1.23	0.004644037	0.718661582	58.46
HGNC:18458	VP	0.00111	0.392	0.235	0.684	0.768	0.673	0.878	1.09	0.907	1.32	0.02017101	-0.451044646	43.66
HGNC:18463	VP	0.0728	0.373	0.169	0.963	0.922	0.818	1.04	1.06	0.893	1.26	0.052844064	0.52357259	94.59
HGNC:18470	VP	0.0253	0.33	0.18	0.652	0.58	0.496	0.678	0.977	0.802	1.2	0.020013981	-0.036192055	29.94
HGNC:18484	VP	0.133	0.361	0.147	1.13	0.96	0.824	1.12	0.961	0.752	1.24	0.003422781	0.555122848	65.04
HGNC:18485	DL	4.91e-10	0.931	0.622	1.43	1.05	0.952	1.17	1.06	0.916	1.24	0.006651743	0.031184642	56.57
HGNC:18504	VP	3.15e-09	0.899	0.593	1.4	1.07	0.954	1.19	1.1	0.931	1.31	0.007532356	0.304958732	82.54
HGNC:18510	VP	5.12e-17	0.943	0.691	1.31	0.965	0.894	1.04	0.949	0.835	1.08	-	1.59126483	57.11
HGNC:18514	SV	3.62e-07	0.536	0.357	0.825	0.978	0.895	1.07	0.974	0.843	1.13	0.016209945	-0.184393514	43.36
HGNC:18537	VP	0.853	0.133	0.054	0.42	0.851	0.743	0.976	0.931	0.761	1.14	0.104734008	-0.044569834	43.85
HGNC:18540	VP	2.88e-09	0.479	0.342	0.684	0.819	0.754	0.889	1.07	0.964	1.2	0.010169675	-1.262087305	75.34
HGNC:1856	CL	0.166	0.231	0.174	0.311	0.886	0.842	0.931	1.01	0.929	1.09	0.017534944	-0.246816987	49.44
HGNC:18563	VP	-	-	-	-	0.985	0.912	1.06	0.998	0.882	1.13	0.003747982	0.957259919	96.27
HGNC:18584	VP	0.0679	0.329	0.161	0.754	0.88	0.793	0.977	0.903	0.774	1.06	0.01022517	-0.252125767	84.03
HGNC:18587	VP	6.77e-06	0.381	0.26	0.572	0.939	0.87	1.01	1.08	0.972	1.2	0.045192791	0.862968845	83.24
HGNC:18588	VP	2.55e-06	0.775	0.477	1.31	0.78	0.661	0.923	0.75	0.574	0.99	0.005948889	0.505303841	85.18
HGNC:1859	VP	1.46e-30	0.523	0.432	0.635	0.883	0.84	0.928	0.862	0.797	0.933	0.008359123	-0.540076362	50.61
HGNC:18591	DL	3.99e-17	0.637	0.486	0.845	0.688	0.63	0.75	0.931	0.825	1.05	0.007330902	-0.696215503	9.62
HGNC:18592	VP	3.46e-09	0.5	0.354	0.72	0.894	0.815	0.981	0.896	0.767	1.05	0.017913313	-0.325742184	23.48
HGNC:18593	VP	6.45e-21	0.91	0.688	1.22	1.03	0.947	1.13	0.926	0.793	1.09	0.002654956	0.527851238	64.73
HGNC:18594	DL	6.2e-09	0.511	0.359	0.743	0.746	0.68	0.818	0.986	0.87	1.12	0.021222733	-0.606111612	45.44
HGNC:18608	VP	9.77e-09	0.349	0.261	0.471	0.771	0.729	0.814	1.06	0.984	1.13	0.022818649	-0.433199093	54.22
HGNC:18619	CL	1	0.1	0.051	0.211	0.767	0.699	0.841	0.892	0.779	1.02	0.0567851	-0.138764497	28.81
HGNC:18621	VP	5.05e-15	0.724	0.535	0.992	1.01	0.931	1.11	0.93	0.801	1.08	0.006889405	-0.207208056	27.36
HGNC:18622	DL	1.78e-07	0.458	0.316	0.679	0.882	0.811	0.96	0.949	0.838	1.07	0.005882967	-0.22619025	68.01
HGNC:1863	VP	2.27e-13	0.959	0.673	1.39	1.29	1.17	1.42	1.39	1.2	1.62	-	1.123737304	76.58
HGNC:18636	VP	2.52e-10	0.498	0.36	0.7	0.757	0.697	0.822	0.834	0.732	0.951	-	-	62.7
HGNC:18644	VN	3.66e-06	0.471	0.31	0.736	0.657	0.588	0.735	0.901	0.766	1.06	0.02189283	-0.381795069	34.85
HGNC:18647	DL	2.6e-06	0.593	0.379	0.961	0.864	0.767	0.975	1.07	0.894	1.29	0.002987441	0.21254145	36.99
HGNC:18648	DL	0.997	0.147	0.083	0.277	0.676	0.62	0.737	0.985	0.886	1.1	0.11481432	-0.539181204	74.03
HGNC:18654	CL	5.64e-32	0.595	0.489	0.725	0.978	0.931	1.03	1.01	0.937	1.1	0.014226121	-2.212421908	64.2
HGNC:18657	VP	0.0161	0.289	0.177	0.491	0.625	0.556	0.703	0.874	0.75	1.02	0.006590674	-0.380280365	45.18
HGNC:18672	VP	7.77e-23	0.522	0.418	0.655	1.01	0.961	1.07	0.97	0.89	1.06	0.010879952	-0.008016823	55.08
HGNC:18673	DL	7.94e-13	0.748	0.537	1.06	0.92	0.83	1.02	1.07	0.925	1.25	0.006387878	0.630874182	32.06
HGNC:18674	CL	7.27e-08	0.488	0.336	0.723	0.687	0.621	0.761	1.32	1.17	1.48	0.016735845	-1.194430741	25.66
HGNC:18676	CL	1	0.0439	0.017	0.138	0.599	0.547	0.656	0.93	0.821	1.06	0.282781738	-1.533675388	19.55
HGNC:18688	DL	1.45e-14	0.653	0.486	0.891	0.877	0.821	0.937	0.992	0.906	1.09	0.01502111	1.729007477	67.22
HGNC:18695	VP	0.994	0.158	0.092	0.286	0.967	0.901	1.04	1.02	0.916	1.15	0.113673798	-0.061852376	15.51
HGNC:18696	VN	0.352	0	0	1.82	0.432	0.265	0.733	0.77	0.474	1.31	-	-	71.03
HGNC:18712	DL	0.00742	0.364	0.206	0.683	0.792	0.715	0.877	0.868	0.754	1	-	1.100478044	71.42
HGNC:18745	SV	0.991	0.11	0.049	0.283	0.81	0.724	0.907	0.894	0.754	1.06	0.160132936	0.745307827	26.09
HGNC:18748	VP	0.993	0.178	0.113	0.288	0.949	0.89	1.01	1.07	0.98	1.18	0.037035137	-1.151343131	23.81
HGNC:18749	VN	3.79e-07	0.588	0.387	0.919	0.914	0.841	0.993	1.08	0.969	1.21	0.015376385	0.999760353	68.11
HGNC:18751	VP	5.58e-10	0.61	0.428	0.886	0.881	0.82	0.946	1.06	0.96	1.17	0.009773015	0.509328431	71.85
HGNC:18752	DL	1	0	0	0.096	0.538	0.472	0.612	0.905	0.775	1.06	0.36967681	-0.533925692	1.7
HGNC:18753	VP	1.52e-11	1.23	0.819	1.8	0.844	0.729	0.98	0.768	0.609	0.977	0.003727363	-0.140017357	91.25
HGNC:18758	SV	8.66e-09	0.5	0.351	0.726	0.796	0.724	0.876	0.813	0.694	0.954	0.013083035	-0.916440395	20.8
HGNC:1876	CL	1	0.0355	0.012	0.168	0.591	0.517	0.676	0.864	0.724	1.04	0.364801354	-0.686413344	63.87
HGNC:18782	DL	0.513	0.211	0.109	0.444	0.526	0.458	0.604	0.899	0.765	1.06	0.087726638	-0.535086132	21.24
HGNC:18790	VN	0.00775	0.594	0.291	1.35	1.1	0.957	1.28	0.996	0.801	1.25	0.00496949	-0.311127296	-
HGNC:18798	VP	0.997	0.115	0.055	0.262	0.733	0.662	0.813	0.945	0.814	1.1	0.19787658	-0.30648809	10.3
HGNC:18799	VP	7.19e-06	0.794	0.477	1.38	0.902	0.773	1.06	0.854	0.663	1.11	0.003467709	0.431154341	57.43
HGNC:18802	DL	9.29e-08	0.846	0.541	1.37	0.847	0.738	0.975	0.929	0.761	1.14	0.011679493	0.319752673	45.43
HGNC:18807	DL	0.998	0.16	0.098	0.271	0.846	0.791	0.904	1.01	0.915	1.11	0.077350801	-1.143750698	36.88
HGNC:18808	VP	0.39	0.224	0.116	0.471	0.632	0.55	0.727	1.14	0.974	1.35	0.238726354	-0.725986684	12.59
HGNC:18826	VN	5.99e-11	0.889	0.607	1.33	1.09	0.977	1.21	0.978	0.811	1.19	0.005105632	-0.498543344	23.98
HGNC:18830	VN	5.89e-09	0.856	0.564	1.34	1.03	0.926	1.15	1.08	0.909	1.28	0.002993197	0.175289827	88.45
HGNC:18856	VN	0.982	0.0956	0.038	0.301	0.814	0.731	0.907	0.845	0.722	0.99	-	0.387840347	33.39
HGNC:18857	VP	1.26e-17	1	0.732	1.39	1.11	1.02	1.22	1.06	0.918	1.22	-	3.337992624	89.2
HGNC:18858	DL	5.23e-05	0.703	0.411	1.27	1	0.898	1.13	0.96	0.808	1.15	0.014530626	-0.541143978	70.03
HGNC:18862	VN	5.55e-31	1.1	0.862	1.41	1.02	0.951	1.09	1.01	0.911	1.11	0.002160636	1.393595581	51.04
HGNC:18864	VP	2.31e-10	0.477	0.347	0.667	0.849	0.789	0.914	1.08	0.971	1.2	0.017392054	-0.321195371	28.02
HGNC:18870	VN	4.97e-38	1.11	0.889	1.39	0.993	0.92	1.07	0.914	0.805	1.04	-	1.6509931	74.11
HGNC:18871	VP	1.31e-12	0.875	0.615	1.27	0.92	0.821	1.03	0.964	0.804	1.16	0.003203302	-0.888724995	51.43
HGNC:18886	VP	1.29e-07	1.44	0.834	1.92	0.958	0.844	1.09	0.968	0.793	1.19	0.003568611	0.076010183	88.57
HGNC:189	VN	9.81e-06	0.36	0.248	0.534	0.639	0.58	0.704	0.846	0.74	0.969	0.027098846	-0.312191743	45.66
HGNC:18901	SV	-	-	-	-	-	-	-	-	-	-	-	-	47.73
HGNC:18956	VP	2.31e-11	1.19	0.79	1.76	1.44	1.3	1.6	1.41	1.21	1.65	0.001990686	1.447376095	81.83
HGNC:18958	VN	0.0223	0.282	0.173	0.478	0.696	0.63	0.768	0.851	0.739	0.98	0.036478955	1.300572323	63.05
HGNC:18969	VP	2.31e-14	0.712	0.524	0.982	0.869	0.796	0.949	1.04	0.915	1.19	0.009859143	-0.159261294	83.99
HGNC:18981	VP	0.288	0.244	0.11	0.63	0.322	0.261	0.399	0.958	0.784	1.18	0.099631385	-0.436255157	6.22
HGNC:18985	VP	9.5e-07	0.873	0.538	1.47	0.943	0.82	1.09	0.979	0.799	1.21	0.002762406	0.414043007	66.61
HGNC:18986	VP	2.95e-21	0.756	0.584	0.988	0.811	0.749	0.877	0.928	0.822	1.05	0.017206591	-0.77375814	39.8
HGNC:18988	VP	0.999	0.0413	0.014	0.196	0.806	0.725	0.897	0.852	0.723	1.01	0.127743504	0.29355141	2.83
HGNC:18996	VP	3.36e-11	0.739	0.519	1.07	0.893	0.803	0.994	1.01	0.868	1.19	0.006403476	0.559754737	78.63
HGNC:18999	CL	7.12e-05	0.45	0.282	0.745	0.862	0.776	0.958	0.935	0.789	1.11	0.015915711	0.651015531	24.26
HGNC:19007	VP	1.74e-05	0.53	0.333	0.877	0.825	0.754	0.904	1.03	0.911	1.17	0.026468357	0.241507506	55.84
HGNC:19009	DL	0.00143	0.38	0.228	0.664	0.985	0.883	1.1	1.07	0.897	1.27	0.013716321	0.642638034	44.51
HGNC:19010	VN	0.124	0.264	0.144	0.522	0.923	0.838	1.02	0.962	0.835	1.11	0.014774201	1.551220769	85.38
HGNC:19018	DL	1.07e-08	0.742	0.496	1.14	0.899	0.817	0.989	0.891	0.767	1.04	-	0.95261295	62.84
HGNC:19027	DL	0.934	0.138	0.062	0.356	0.583	0.529	0.641	1.09	0.984	1.21	0.046312017	-1.320288235	25.21
HGNC:19028	VP	0.000149	0.509	0.306	0.888	0.838	0.771	0.912	1.07	0.955	1.19	0.032556234	-0.849864468	78.83
HGNC:19030	VP	0.026	0.259	0.172	0.399	0.925	0.868	0.986	1.04	0.946	1.15	0.062656477	-0.041620614	70.02
HGNC:19034	VN	-	-	-	-	-	-	-	-	-	-	-	-	44.3
HGNC:19035	VP	6.64e-20	0.568	0.445	0.731	0.826	0.78	0.875	1.07	0.984	1.16	0.020345915	-0.590314375	44.29
HGNC:19036	VP	1	0.113	0.061	0.224	0.588	0.545	0.634	0.926	0.846	1.01	0.062007547	-0.503000757	60.46
HGNC:19038	VP	9.64e-15	0.907	0.651	1.28	1.04	0.954	1.14	0.982	0.852	1.13	0.005081829	-0.020503429	44
HGNC:19039	VP	4.04e-07	0.584	0.385	0.913	0.853	0.777	0.937	0.868	0.756	0.999	-	0.671960357	79.27
HGNC:19041	DL	2.58e-13	0.787	0.565	1.12	0.853	0.775	0.939	0.81	0.693	0.95	0.008740615	0.65787841	64.59
HGNC:19048	VP	4.32e-48	0.617	0.526	0.727	1.02	0.983	1.06	1.15	1.08	1.22	-	0.554859315	41.31
HGNC:19056	VP	0.00786	0.591	0.29	1.34	0.772	0.661	0.905	0.876	0.697	1.11	0.005938162	0.633461541	95.89
HGNC:1908	VP	1.85e-20	0.386	0.316	0.474	0.857	0.819	0.896	0.969	0.902	1.04	0.028410887	-3.748203828	33.87
HGNC:19082	DL	2.79e-12	0.381	0.294	0.498	0.553	0.515	0.593	0.978	0.896	1.07	0.022645795	-3.088196155	24.28
HGNC:19088	DL	1	0.0238	0.01	0.061	0.74	0.705	0.777	0.909	0.845	0.978	0.375950611	-4.659397652	23.94
HGNC:19098	VP	0.88	0.0892	0.031	0.423	0.738	0.619	0.883	1.12	0.903	1.41	0.088502396	0.023874144	50.7
HGNC:19123	CL	0.00475	0.438	0.239	0.864	0.945	0.82	1.09	0.761	0.593	0.984	0.016674414	0.015140789	24.28
HGNC:19125	VP	0.0141	0.279	0.178	0.452	0.68	0.615	0.752	0.912	0.787	1.06	0.02540471	-0.305328995	50.19
HGNC:19129	DL	8e-09	0.836	0.551	1.31	0.9	0.797	1.02	0.936	0.774	1.14	0.005790262	-0.09928736	23.31
HGNC:19138	VP	1.62e-08	0.79	0.521	1.24	0.94	0.831	1.07	0.948	0.782	1.16	0.008287591	0.004537041	58.71
HGNC:19143	DL	1	0.1	0.059	0.175	0.663	0.618	0.711	0.832	0.749	0.924	0.161952371	-1.769052327	18.55
HGNC:1915	DL	1	0.0719	0.04	0.135	0.583	0.541	0.628	0.954	0.864	1.05	0.392972628	-2.106475125	12.85
HGNC:19152	VP	2.07e-07	0.783	0.501	1.27	0.803	0.696	0.929	1.06	0.875	1.3	0.011468149	-0.284123406	10.62
HGNC:19157	VP	-	-	-	-	-	-	-	-	-	-	-	-	79.95
HGNC:19165	VP	1.04e-23	0.713	0.562	0.911	0.899	0.841	0.959	1.02	0.925	1.12	0.004283236	-0.267905146	36.39
HGNC:19166	VP	6.19e-17	0.719	0.542	0.966	0.899	0.825	0.979	1.02	0.895	1.17	0.009621126	-0.868492084	5.84
HGNC:1917	VP	1	0.0275	0.012	0.071	0.522	0.485	0.562	0.944	0.864	1.03	0.172054038	-2.423385289	20.62
HGNC:19175	VN	0.231	0.278	0.113	0.875	0.715	0.596	0.861	0.863	0.669	1.12	0.004514577	0.194984981	36
HGNC:19176	VP	0.0567	0.406	0.184	1.05	1.04	0.881	1.23	0.875	0.659	1.18	0.010466992	0.193113139	41.06
HGNC:19177	VN	0.426	0.191	0.067	0.905	0.821	0.676	1	1.06	0.809	1.42	0.214997628	0.420104967	85.24
HGNC:1918	VP	1	0.0896	0.054	0.152	0.498	0.464	0.533	0.987	0.914	1.07	0.109065963	-2.397143115	16.92
HGNC:19182	DL	0.00174	0.291	0.196	0.441	0.912	0.856	0.972	1.02	0.929	1.12	0.020702043	0.149282946	34.63
HGNC:19184	DL	1.2e-17	0.612	0.47	0.805	0.917	0.857	0.982	0.904	0.813	1.01	-	0.730264868	72.16
HGNC:19189	SV	3.5e-26	0.577	0.466	0.718	0.868	0.826	0.912	0.935	0.87	1.01	-	1.053171292	62.98
HGNC:1919	CL	1	0.0827	0.049	0.144	0.448	0.415	0.483	1.01	0.933	1.1	0.08070652	-3.591423181	9.88
HGNC:19194	VP	1.3e-34	0.393	0.336	0.46	0.957	0.928	0.987	0.993	0.944	1.04	0.018168765	-1.093627198	29.46
HGNC:19205	VP	0.997	0.128	0.066	0.269	0.821	0.748	0.9	1.06	0.925	1.21	-	-1.348093839	34.17
HGNC:19217	VP	1.08e-37	0.771	0.634	0.942	1.25	1.19	1.31	1.22	1.13	1.32	0.005899639	0.663736623	33.79
HGNC:19218	VP	8.38e-12	0.702	0.501	1	1.09	1	1.2	1.1	0.94	1.28	0.0044727	-0.860915312	66.47
HGNC:19222	VP	0.928	0.139	0.062	0.36	0.606	0.528	0.697	1.05	0.897	1.23	0.047821406	-0.339999914	21.22
HGNC:19223	VP	-	-	-	-	0.956	0.794	1.16	1.37	1.06	1.78	0.003600253	0.271806765	91.83
HGNC:19232	VP	0.00547	0.663	0.325	1.48	0.831	0.663	1.05	0.881	0.624	1.27	0.017719481	-0.151070045	76.92
HGNC:19245	SV	0.959	0.07	0.024	0.332	0.668	0.601	0.744	1.03	0.914	1.17	0.006611696	-0.732398877	52.1
HGNC:19253	SV	0.135	0.246	0.151	0.418	0.871	0.809	0.938	1.03	0.93	1.14	0.0504829	1.345965489	75.63
HGNC:19254	VP	-	-	-	-	-	-	-	-	-	-	-	-	74.02
HGNC:19262	VP	8.43e-37	0.928	0.75	1.16	0.937	0.88	0.997	1.01	0.922	1.11	-	3.79819014	77.52
HGNC:19268	VP	0.921	0.0804	0.028	0.381	0.602	0.51	0.712	1.07	0.893	1.3	0.033507307	-0.40087191	45.21
HGNC:19288	VP	1.49e-08	0.723	0.482	1.11	1	0.892	1.13	1.08	0.895	1.3	0.005197869	-0.01524782	25.06
HGNC:19291	VP	0.824	0.22	0.172	0.283	0.908	0.873	0.944	1.12	1.05	1.19	0.049871524	-5.700996933	7.23
HGNC:19296	VP	0.659	0.211	0.129	0.358	0.825	0.765	0.888	1.08	0.967	1.2	0.045530849	-1.094348948	8.9
HGNC:19300	VP	2.58e-07	1.02	0.628	1.68	1.11	0.978	1.27	1.2	0.969	1.5	0.006609865	-0.073443388	56.24
HGNC:19316	VP	3.33e-20	0.903	0.681	1.21	0.89	0.82	0.966	0.949	0.839	1.07	0.004125296	0.179572331	48.37
HGNC:19319	VP	8.84e-07	0.763	0.479	1.26	0.937	0.821	1.07	0.913	0.747	1.12	-	0.432312037	97.21
HGNC:19320	VP	1.37e-05	0.869	0.508	1.55	0.905	0.78	1.05	0.971	0.778	1.22	-	0.334190507	98.73
HGNC:19336	VP	2.25e-06	0.307	0.227	0.418	0.77	0.722	0.82	1.02	0.931	1.12	0.039892968	-2.192074888	37
HGNC:19338	VN	1	0.0342	0.011	0.162	0.39	0.334	0.457	0.882	0.744	1.05	0.171858284	-0.543465034	16.16
HGNC:19339	VP	0.0515	0.276	0.161	0.498	0.653	0.581	0.735	1.06	0.923	1.23	-	0.047847846	64.84
HGNC:19341	VP	0.999	0	0	0.142	0.538	0.464	0.625	1.01	0.86	1.2	0.235787376	-0.529382388	21.18
HGNC:19343	VP	0.00142	0.47	0.266	0.883	0.901	0.791	1.03	0.935	0.758	1.16	0.017551359	0.05052175	5.98
HGNC:19349	DL	1.19e-06	0.312	0.232	0.426	0.738	0.691	0.787	0.968	0.879	1.07	0.014786201	-1.269626442	32.21
HGNC:1935	SV	0.533	0.188	0.076	0.59	0.528	0.415	0.678	0.972	0.73	1.31	0.09148973	0.062640986	10.57
HGNC:19355	DL	0.933	0.138	0.062	0.357	0.732	0.648	0.827	1.13	0.966	1.32	0.043813182	-0.78035014	24.76
HGNC:19357	SV	1	0	0	0.075	0.527	0.47	0.593	0.919	0.792	1.07	0.241790807	-0.506921563	10.96
HGNC:19365	VP	4.46e-05	0.53	0.326	0.898	0.489	0.413	0.581	0.839	0.681	1.04	0.015658715	-0.265497929	19.9
HGNC:1937	DL	0.212	0.246	0.134	0.485	0.789	0.692	0.9	0.9	0.739	1.1	0.039268046	-0.459423312	37.95
HGNC:19372	VP	0.0126	0.733	0.329	1.69	0.789	0.657	0.952	1.08	0.856	1.37	0.010704635	-0.251061667	99.99
HGNC:19383	DL	0.582	0	0	1.1	0.712	0.578	0.883	1.66	1.35	1.93	-	-	36.03
HGNC:19398	VP	5.69e-10	0.609	0.427	0.884	0.866	0.795	0.944	0.847	0.734	0.98	0.002813064	0.135812815	73.73
